solv_comb_sm,salt_sm,conductivity_log
CC1COC(=O)O1.O=C1OCCO1,F[P-](F)(F)(F)(F)F.[Li+],-0.348526293096294
CC1COC(=O)O1,F[P-](F)(F)(F)(F)F.[Li+],0.696531120122277
CC1COC(=O)O1,[Li+].c1ccc2c(c1)O[P-]13(O2)(Oc2ccccc2O1)Oc1ccccc1O3,0.138874514550167
CC1COC(=O)O1.CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],0.830075166305675
COCCOC.O=S1(=O)CCCC1,F[As-](F)(F)(F)(F)F.[Li+],0.986323777093033
CC1COC(=O)O1.CCOC(=O)OCC,CC[N+](CC)(CC)CC.F[B-](F)(F)F,0.99679486025663
CC1COC(=O)O1.CCOC(=O)OCC,CC[N+](CC)(CC)CC.F[B-](F)(F)F,1.23567694877253
CC1COC(=O)O1.CCOC(=O)OCC,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.533775861634651
CC1COC(=O)O1,CC[N+](CC)(CC)CC.[O-][Cl+3]([O-])([O-])[O-],-1.30443560550219
O=S1(=O)CCCC1,F[As-](F)(F)(F)(F)F.[Li+],0.0128372246002708
CC1COC(=O)O1.CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],0.691965102982676
COC(=O)OC,F[P-](F)(F)(F)(F)F.[Li+],0.367355921209461
CC1COC(=O)O1,F[P-](F)(F)(F)(F)F.[Li+],-1.30998121901235
O=S1(=O)CCCC1,F[P-](F)(F)(F)(F)F.[Li+],0.484014962743825
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[B-](F)(F)F,0.977279541523471
CC1COC(=O)O1.CCOC(=O)OCC,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.903808423120622
CC1COC(=O)O1.CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],0.708370328620128
