solv_comb_sm,salt_sm,true_conductivity_log,class,group
C(COCCOC)(COCCOC)(COCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.13458,Ether,in-house
C(COCCOC)(COCCOC)(COCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.05228,Ether,in-house
C(COCCOC)(COCCOC)(COCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.04842,Ether,in-house
C(COCCOC)(COCCOC)(COCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.17868,Ether,in-house
C(COCCOC)(COCCOC)(COCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.34097,Ether,in-house
C(COCCOC)(COCCOC)(COCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.55066,Ether,in-house
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.36995,Ether,in-house
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.30261,Ether,in-house
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.22043,Ether,in-house
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.1209,Ether,in-house
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.00074,Ether,in-house
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.14956,Ether,in-house
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.32766,Ether,in-house
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.54726,Ether,in-house
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.81692,Ether,in-house
B(OCCOC)(OCCOC)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.2323,Ether,in-house
B(OCCOC)(OCCOC)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.19762,Ether,in-house
B(OCCOC)(OCCOC)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.15072,Ether,in-house
B(OCCOC)(OCCOC)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.09684,Ether,in-house
B(OCCOC)(OCCOC)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.03844,Ether,in-house
B(OCCOC)(OCCOC)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.03174,Ether,in-house
B(OCCOC)(OCCOC)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.12235,Ether,in-house
B(OCCOC)(OCCOC)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.24423,Ether,in-house
B(OCCOC)(OCCOC)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.40104,Ether,in-house
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.35682,Ether,in-house
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.42954,Ether,in-house
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.52571,Ether,in-house
