smiles,IE,EA
C/C(=N\Cn1ccc(=c2ccn(C)cc2)c(c1)N)/O,1.807595482,-0.314848167
CCc1cccc2c1n(F)s[nH]2,4.63348028,4.223753818
c12c3c4c(ccc3ccc1c(ccc2cc4)C(C)C)C(C)C,3.868588046,0.706932295
Cc1ccc(NC)s1,3.345774338,-0.39119198
Cn1cc/c(=c\2/ccn(C)c(c2)OCCOCCOCCOC)/c(c1)c1ccccc1,1.834377614,-0.126123432
[C@@H]1(CC[C@H](SC1)N(=O)=O)N(=O)=O,5.533601992,1.778214357
c1(N2[Si]N(C=C2)c2c(cccc2C)C)c(cccc1C)C,3.811230003,0.269385722
C1[C@H]([C@H](CSC1)C)NC(=O)C,4.833540774,-0.552693361
C1=C[C@@H](C(=C1)N(=O)=O)C(Cl)(Cl)Cl,5.677864164,2.301391904
O=C1N(C(=O)N=N1)c1ccccc1,5.585542516,3.325446479
c1cc2c(cc1)C(=O)c1c(C2=O)c(ccc1OC)OC,4.692096464,2.076934616
C[C@@H]1C=CSC(=C1)C(Cl)(Cl)Cl,4.454377803,2.643102114
c1c2c3c4c5c1c(=O)n(c(=O)c5cc1c4c4c5c3c(cc3c5c(cc4c([n]1)c1ccccc1)c(=O)n(c3=O)C)[n]c2c1ccccc1)C,4.796551674,2.375403388
Cc1cc[nH]c1N(C)C,2.828250824,-0.769986721
C1CC[C@@](SC1)(C)N(=O)=O,4.835647768,1.698252751
C=Cc1c[nH]cc1C=C,4.144378777,-0.129697601
C=Cc1c(cc[nH]1)C(Cl)(Cl)Cl,4.360629813,2.43362918
C/C(=N\Cn1ccc(=c2ccn(C)cc2)c(C#N)c1)/O,2.248592997,0.3317043
CC(=O)c1cncc(/N=C(/C)\O)n1,5.413496732,1.691536197
COc1c(ccc2c1ONO2)Cl,4.530434859,1.330706205
c1(c([nH]nc1C)C)N(=O)=O,5.773841768,1.587493752
Cc1cc(c2c(c1)ONO2)/N=C(/C)\O,4.231318231,0.316578406
CC(=O)c1ccc2c(c1)n(NC)s[nH]2,3.59651983,0.946296985
c1cc2c(cc1F)ON(C(Cl)(Cl)Cl)O2,4.776309825,2.315935594
CCC1(CCCC1)C#N,6.660058326,-0.987117513
CC(=O)c1cc(=c2ccn(C)cc2)ccn1C,2.137406472,0.851470891
C=CC1=CCC=C(N(C)C)S1,3.503681419,0.410393867
