smiles,IE
C(CC(=C)C)C[C@@H](C)O,5.182687545
C/C(=N/c1cncc(C(=O)O)n1)/O,5.182558963
C1=C(C(=O)O)OC=C(C(=O)O)O1,5.18238145
c1c(csc1N(=O)=O)O,5.18220798
c1c[nH]c(=O)c(Cl)n1,5.182155326
C[C@@H]1CSC[C@H](C(=N)O)S1,5.181665943
[C@@]12(C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@@H]1[C@H]2C[C@H]3C[C@@H]1C[C@@H](C2)C3,5.18147672
C1=COC=C([C@@H]1N)C(=O)O,5.181331387
Cn1cc(c(c1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,5.18099918
c1c(Cl)[nH]c(=O)cn1,5.180852864
C#CC1(CCCC1)N,5.18076736
[C@H](CCC(=O)O)(C(=O)O)N,5.180201279
c1(c2ccccc2)c(cc(cc1Cl)Cl)Cl,5.179816859
[C@@H]1(C[C@H](CSC1)N(=O)=O)N(=O)=O,5.179693722
CCc1ccn(C)c1N(=O)=O,5.179397041
CCc1cnc(cn1)C(C)(C)C,5.179063844
c1cc(c2c(c1)ON(O)O2)N(=O)=O,5.178901008
C(=O)c1ccc(cc1)O,5.178871081
Cc1ccc(C#N)s1,5.178805632
c1cc2c(cc1O)C(=O)c1c(C2=O)cc(cc1)O,5.178756056
c1ccc(cc1)C1(CCCC1)O,5.178551856
P(Cl)(Cl)c1c(C(C)C)cc(cc1C(C)C)C(C)C,5.178473068
Cc1ccsc1C(=O)C,5.178074549
C#CC1=CCC(=CO1)N(=O)=O,5.178055681
c1(nnc(nn1)OC)OC,5.178042364
C#Cc1cc(C#N)cs1,5.177411019
CC[C@H]1CSC[C@H](F)S1,5.177336097
C(C(=O)O)(O)(c1ccccc1)c1ccccc1,5.177027104
C1=COC(=C(C1)C#N)F,5.176001221
c1cc(c2c(c1C#N)ONO2)N(=O)=O,5.175578397
C#C[C@@H]1C=COC(=C1)C(=N)O,5.175561447
c1(c(N(=O)=O)cccc1)c1ccccc1,5.17555582
c1(ccccc1)/C=N/C,5.174824958
C(=O)(CCCc1ccccc1)c1ccccc1,5.174692256
CCc1cncc(C(C)(C)C)n1,5.174617307
c1cc2c(c(c1)C=C)C(=O)c1c(C2=O)c(ccc1)C=C,5.174357814
C=C[C@@H]1CS[C@@H](CS1)F,5.173373014
CC(C)(C)c1c(ccs1)C#N,5.173302636
C(CC=O)c1ccccc1,5.173075755
C#Cc1cscc1C(Br)(Br)Br,5.172988042
C#Cc1cc(C(=O)C)sc1,5.172312536
C(C(=C)C)CCO,5.1723056
C1=C[C@H](C(=C1)C(Cl)(Cl)Cl)C(=O)O,5.171863646
C(=O)(C)n1c2c(oc1=O)cccc2,5.171857866
c1c(cc2c(c1N(=O)=O)ONO2)C#N,5.171651648
c1(c2cnccc2)ncccc1,5.171643577
C#Cc1c(nccn1)OC,5.171585614
C1=C[C@@H](C(=C1)C(=O)O)C(=N)O,5.171410917
c1cc2c(cc1C#N)ON(C(F)(F)F)O2,5.171151511
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,5.171147573
n1c(=O)[nH]ccc1N,5.171040559
C(=O)(O)c1cc(O)ccc1,5.170989361
c1c(csc1Cl)C(Br)(Br)Br,5.170930181
C1=CSC(=C[C@@H]1F)C(=O)O,5.170606619
C1[C@H](C[C@H](SC1)N(=O)=O)C,5.170530136
c1(cc2c(cc1)C(=O)c1c(C2=O)c(ccc1)O)C,5.170349722
[S@@](=O)(/C(=C(/[S@@](=O)c1ccc(cc1)C)\Cl)/Cl)c1ccc(cc1)C,5.170278343
c1cc2c(cc1)C(=O)c1c(C2=O)cc(c(c1)O)C,5.169766737
Cc1ccccc1,5.169521162
c1cc2c(cc1)ncc(n2)O,5.169495445
O=C1c2c(C(=O)c3c1cccc3O)c(O)cc(c2)CO,5.169412232
Cc1c2c(oc(=O)c1)cccc2,5.169295417
C#C[C@@H]1C=COC=C1C(=N)O,5.169280214
C(C(=C)C(=O)OCC)(OC)(c1ccccc1)c1ccccc1,5.169047197
CCc1cncc(n1)OCCOC,5.168917401
Cc1cc2c(cc1)nn[nH]2,5.168724802
C(=C(Cl)Cl)[S@](=O)CCC,5.168706214
C1C(=CSC=C1N(=O)=O)C(Cl)(Cl)Cl,5.168344218
C#Cc1c(nccn1)OCCOCCOC,5.168210387
CCc1ccc(C#N)s1,5.168179962
Cc1cncc(n1)OCCOCCOC,5.16814071
C=C[C@H]1CCCC[C@H]1C=C,5.168027799
C(S[C@@H](C(=O)OCC)F)c1ccccc1,5.166560362
c1cc(c(cn1)NC(=O)C)c1ccnc(c1)C,5.166448989
c1cc(C#N)c2c(c1)ON(C(F)(F)F)O2,5.166327713
c1cnc(c(C(F)(F)F)n1)N,5.166112063
c1cc(cc(c1)O)[C]([NH])O,5.166105294
c1cc2c(cc1C=C)C(=O)c1c(C2=O)c(ccc1)C=C,5.165834186
CC[C@@H]1CSC[C@H](C(=N)O)S1,5.16545408
Cl[C@@]12[C@@H]3[C@H]([C@@]([C@@H]1Cl)(C=C2)Cl)[C@H]1C[C@@H]3C=C1,5.165269239
c1ccc(cc1)[C@@H]1[C@H](F)SCCS1,5.165010874
[C@]12(C(C)(C)C)C[C@@]3(C[C@](C1)(C[C@](C2)(C3)C)C)C,5.164863999
Nc1c(O)occ1C=O,5.164765257
CCc1ccsc1C(=O)C,5.16457459
CN1CCN(C)[C@H]([C@H]1N(=O)=O)N(=O)=O,5.1645535
O=C1c2c(C(=O)C(=C1CC=C(C)C)O)cccc2,5.164365906
c1cc(c2c(c1)ON(C(Cl)(Cl)Cl)O2)N(=O)=O,5.164041002
Cn1cc(cc1C(=O)N)C#N,5.163518257
C=C[C@@H]1[C@H](N(=O)=O)SCCS1,5.163478631
c1(cc2c(cc1)C(=O)c1c(C2=O)cc(cc1)O)O,5.163345754
C(O)c1ccc(cc1)Cl,5.163175606
CCc1ccsc1C(Cl)(Cl)Cl,5.16310019
C#Cc1cscc1F,5.163026594
C=Cc1c(C)nccn1,5.162920848
C=C[C@@H]1CCC[C@@H]1OC,5.162416111
C#C[C@@H]1CS[C@@H](CS1)O,5.162369615
O(C(=O)C)[C@H]1[C@H](OC(=O)C)C=CO[C@@H]1COC(=O)C,5.162301054
C[C@@H]1CS[C@@H](CS1)C(Cl)(Cl)Cl,5.161675909
C#Cc1ccsc1C(Br)(Br)Br,5.161480128
N1(C=NC=C[CH]1)[O],5.161120273
c1cc2c(cc1C)C(=O)c1c(C2=O)c(ccc1)O,5.161072727
Cc1cncc(n1)OCCOCCOCCOC,5.160985
C=C[C@]1(CSCCS1)F,5.160729106
c1(cc2c(cc1CC)nccn2)C,5.160123773
C1CS[C@@](CS1)(C(=O)O)C(Cl)(Cl)Cl,5.159652544
Nc1c[nH]nc(N)c1=O,5.159427947
c1(cc2c(cc1CC)nccn2)CC,5.159406149
C(=O)N1CCOCC1,5.159337408
c1c(cc2c(c1C(F)(F)F)ONO2)N(=O)=O,5.159178273
C1=COC=C([C@@H]1N)N(=O)=O,5.15900538
C(O)c1c(C)cccc1,5.158798835
c1c(c(cs1)C#C)C#C,5.158219747
c1ccc(cc1)[C@@H]1CS[C@@H](CS1)N(=O)=O,5.157197699
[C@H]([C@@H](O)c1cc(N(=O)=O)ccc1)(O)c1cc(N(=O)=O)ccc1,5.156933554
C1C(CCSC1)(C#N)C#N,5.156686151
C=Cc1cncc(C(C)(C)C)n1,5.155987259
Cc1cc(C(=O)C)sc1,5.155291747
C/C(=N/c1cnc(cn1)C(Cl)(Cl)Cl)/O,5.155000572
C(C(=O)O)[C@@H]1CCCC=C1,5.154878542
CC(=O)c1ccsc1Cl,5.154758157
S(SS)S,5.15464961
C(C)(C)(C)c1ccccc1,5.154613441
c1c2c3c4c5c1c(=O)n(c(=O)c5cc1c4c4c5c3c(cc3c5c(cc4c(c1c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)c(=O)n(c3=O)C)c(c2c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)C,5.154200097
c1(C(=O)N(C)C)ccccc1,5.154022584
c1(cc2c(cc1)C(=O)c1c(C2=O)cccc1)C=C,5.153912391
Cc1c[nH]c(c1)C1CC1,5.153454135
c1c(c2c(cc1)nc(cn2)C#C)C,5.153408173
C/C(=N/c1c(C(Br)(Br)Br)nccn1)/O,5.153387429
CC(=O)c1c(nccn1)/N=C(/C)\O,5.153273226
CCc1ccc2c(c1)ON(Cl)O2,5.153218743
C1=C(C(=O)O)OC(=CO1)C(=O)O,5.152542743
C(=C)(C(=O)O)c1ccccc1,5.152514798
c1(cc2c(cc1)nc(cn2)CC)C,5.152158767
c1cc(ccn1)c1ccnc(c1C)NC(=O)C,5.152073277
c1ccc(cc1)[C@@H]1CSC[C@H](F)S1,5.15199996
CC1(C)N=C(OC1)c1cc(F)ccc1,5.151951376
CCc1cncc(n1)OCCOCCOCCOC,5.151891075
CCc1ccc([nH]1)N(=O)=O,5.151532933
c1c(c(c[nH]1)F)C(=O)O,5.151403094
C=C[C@@H]1CSC[C@H](C(Cl)(Cl)Cl)S1,5.151080008
C(#N)C1=COC=C(C(=O)O)O1,5.150841315
CCc1cc(C(=O)C)sc1,5.150769283
C1C=C(F)OC=C1C(=O)O,5.150637556
C#Cc1cnc(C=C)cn1,5.150210903
c1c(c2c(cc1C#C)nccn2)C#C,5.150167963
Cn1ccc(C#N)c1C(=O)N,5.149808487
Cc1cncc(n1)OC,5.149772509
C#Cc1ccc(C(=O)O)s1,5.149749403
[C@H](CN(=O)=O)(O)c1ccc(cc1)C,5.149503766
C(=O)(CN)O,5.149491701
[C@H](C(=O)O)(N)c1ccccc1,5.149468642
Cc1ccc([nH]1)N(=O)=O,5.149254257
C1(CC(C1)C=C)(C)C,5.149233051
CC(C)(C)c1ccc(C(F)(F)F)s1,5.149156443
c1c(cc2c(c1N(=O)=O)ONO2)C(F)(F)F,5.14828856
CC(C)(C)c1cscc1C(Cl)(Cl)Cl,5.147755827
O=C1c2c(C(=O)N1O)ccc(c2)OC,5.147623013
CC(C)(C)c1ccc2c(c1)ON(F)O2,5.147485384
C#Cc1cscc1C(=O)O,5.147261456
C1=COC(=C(C1)C#N)C(Cl)(Cl)Cl,5.147170496
S(=O)(=O)(/C=C/c1ccccc1)c1ccc(cc1)C,5.146828958
C(=O)N1CCN(CC1)C=O,5.146562839
c1cc(c2c(c1)ON(C#N)O2)C(=O)O,5.14642744
c1c(c2c(cc1)C(=O)c1c(C2=O)c(ccc1)C=C)C=C,5.145591809
C=Cc1c(CC)nccn1,5.145460525
CC(C)(C)c1cscc1C(=O)O,5.145418782
Cc1c(nccn1)OCCOCCOCCOC,5.145341336
C1CCC(SC1)(C(=O)O)C(=O)O,5.144794752
CC(C)(C)c1ccc2c(c1)ON(Cl)O2,5.144773086
c1c(c(c[nH]1)C(=N)O)C(=N)O,5.144682276
CCc1cncc(n1)OC,5.144562993
c1cc2c(c(c1)OC)C(=O)c1c(C2=O)c(ccc1)OC,5.144256777
c1cc2c(c(c1C#N)N(=O)=O)ONO2,5.144084442
C(#N)c1cnc(cn1)N,5.143946652
CCc1cncc(n1)OCCOCCOC,5.143945999
c1c(c2c(cc1)nc(cn2)C#C)C#C,5.143931933
C=C[C@@H]1CC[C@H](CC1)c1ccccc1,5.143782507
c1(ccccc1)/C=C/C#N,5.143083953
N(C(=O)CCc1ccccc1)C1CCCC1,5.142975608
C1[C@@H](N)S[C@H](CS1)N(=O)=O,5.142736859
CC[C@@H]1CS[C@@H](CS1)C(=O)O,5.142338318
O=C1[CH]N([N]O1)C,5.142147762
C(=O)(CC[C@@H](C)O)N1CCCC1,5.142073755
c1cc(ccn1)c1cc(nc(c1)O)C,5.141962063
