solvent_1_smiles,solvent_2_smiles,solvent_3_smiles,salt_1_smiles,salt_2_smiles,additive_smiles,protocol,current_density,coulombic_efficiency,log(1-CE)
CCOCCOCC,C1CCOC1,,F[As-](F)(F)(F)(F)F.[Li+],,,-1,5,0.978,-3.816712826
O=C1OCC(F)O1,CCOC(C)=O,,F[P-](F)(F)(F)(F)F.[Li+],,,-1,1.1,0.977,-3.772261063
O=C1OCC(F)O1,CCOC(C)=O,,F[P-](F)(F)(F)(F)F.[Li+],,,-1,1.1,0.98,-3.912023005
O=C1OCC(F)O1,CCOC(C)=O,,F[P-](F)(F)(F)(F)F.[Li+],,,-1,1.1,0.982,-4.017383521
COCCOC,FC(F)C(F)(F)COC(F)(F)C(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.9994,-7.418580903
COCCOC,FC(F)C(F)(F)COC(F)(F)C(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],F[B-](F)(F)F.[Li+],,2,0.5,0.9811,-3.968593357
COCCOC,FC(F)C(F)(F)COC(F)(F)C(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[O-][Cl+3]([O-])([O-])[O-],,2,0.5,0.997,-5.80914299
COCCOC,FC(F)C(F)(F)COC(F)(F)C(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=C1O[B-](F)(F)OC1=O.[Li+],,2,0.5,0.9923,-4.86653495
COCCOC,FC(F)C(F)(F)COC(F)(F)C(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([O-])C(F)(F)F.[Li+],,2,0.5,0.9948,-5.259096653
COCCOC,FC(F)C(F)(F)COC(F)(F)C(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],F[P-](F)(F)(F)(F)F.[Li+],,2,0.5,0.9953,-5.36019277
COCCOC,FC(F)C(F)(F)COC(F)(F)C(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,2,0.5,0.9994,-7.418580903
COC(=O)OCC(F)(F)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.947,-2.937463365
COC(=O)OCC(F)(F)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.972,-3.575550769
C1COCCO1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.949,-2.975929646
CCO[Si](OCC)(OCC)OCC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.99074,-4.68205123
CCO[Si](OC)(OCC)OCC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.99255,-4.899541247
CCO[Si](C)(C)OCC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.99373,-5.071978924
CO[Si](C)(C)OC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.99759,-6.028128531
O=S1(=O)CCCC1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.982,-4.017383521
O=S1(=O)CCCC1,FC(F)C(F)(F)COC(F)(F)C(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.988,-4.422848629
COC1OCC(C(F)(F)F)O1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,1,0.987,-4.342805922
COC1(OC)OCC(C(F)(F)F)O1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.992,-4.828313737
