solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,mol_wt_solv_1,mol_wt_solv_2,mol_wt_solv_3,mol_wt_solv_4,mol_wt_salt,conc_salt,temperature
1,0,0,0,102.0316941,0,0,0,229.1080858,0.0045385,25
1,0,0,0,102.0316941,0,0,0,229.1080858,0.0022698,25
1,0,0,0,102.0316941,0,0,0,229.1080858,0.0015985,25
1,0,0,0,102.0316941,0,0,0,229.1080858,0.0009078,25
1,0,0,0,102.0316941,0,0,0,217.1624929,0.0106761,25
1,0,0,0,102.0316941,0,0,0,217.1624929,0.0080065,25
1,0,0,0,102.0316941,0,0,0,217.1624929,0.0053386,25
1,0,0,0,102.0316941,0,0,0,217.1624929,0.0026705,25
1,0,0,0,102.0316941,0,0,0,217.1624929,0.0018732,25
1,0,0,0,102.0316941,0,0,0,217.1624929,0.0011627,25
1,0,0,0,102.0316941,0,0,0,275.1237556,0.0097288,25
1,0,0,0,102.0316941,0,0,0,275.1237556,0.0072784,25
1,0,0,0,102.0316941,0,0,0,275.1237556,0.004865,25
1,0,0,0,102.0316941,0,0,0,275.1237556,0.0024327,25
1,0,0,0,102.0316941,0,0,0,275.1237556,0.0017046,25
1,0,0,0,102.0316941,0,0,0,275.1237556,0.0009737,25
1,0,0,0,102.0316941,0,0,0,279.1115992,0.0098549,25
1,0,0,0,102.0316941,0,0,0,279.1115992,0.0073907,25
1,0,0,0,102.0316941,0,0,0,279.1115992,0.0049296,25
1,0,0,0,102.0316941,0,0,0,279.1115992,0.0024655,25
1,0,0,0,102.0316941,0,0,0,279.1115992,0.0017282,25
1,0,0,0,102.0316941,0,0,0,279.1115992,0.0009877,25
1,0,0,0,102.0316941,0,0,0,354.0142682,0.0099101,25
1,0,0,0,102.0316941,0,0,0,354.0142682,0.0074314,25
1,0,0,0,102.0316941,0,0,0,354.0142682,0.0049541,25
1,0,0,0,102.0316941,0,0,0,354.0142682,0.0024785,25
1,0,0,0,102.0316941,0,0,0,354.0142682,0.0017339,25
1,0,0,0,102.0316941,0,0,0,354.0142682,0.0009928,25
