smiles,IE,EA
c1cc(c2c(c1)[nH]sn2N(=O)=O)Cl,3.209963834,3.789515131
c1cc(c2c(c1)[nH]sn2C(=O)O)F,3.851003283,2.729898355
c1cc2c(c(c1C(Cl)(Cl)Cl)C(F)(F)F)[nH]s[nH]2,3.692062488,3.178399554
c1cc2c(cc1F)n(N(=O)=O)s[nH]2,3.291468133,3.652063182
c1cc(c2c(c1)[nH]sn2C(F)(F)F)Cl,4.20312413,2.949721253
C/C(=N/c1ccc2c(c1)n(F)s[nH]2)/O,4.254963939,4.297117262
C/C(=N/n1c2cccc(c2[nH]s1)F)/O,3.411327593,2.277508497
C/C(=N/n1c2cc(ccc2[nH]s1)C(F)(F)F)/O,3.406903449,2.335398408
C/C(=N/c1cccc2c1n(F)s[nH]2)/O,4.479092801,4.418746344
C/C(=N/n1c2ccc(cc2[nH]s1)C(Br)(Br)Br)/O,3.31815979,3.261335765
C/C(=N/n1c2cc(ccc2[nH]s1)C(Cl)(Cl)Cl)/O,3.377455768,2.667904458
C/C(=N/c1cccc2c1n(C(Br)(Br)Br)s[nH]2)/O,4.003218749,4.872966189
C/C(=N/c1cc2c(cc1C(Br)(Br)Br)[nH]s[nH]2)/O,3.481236656,3.293413564
C/C(=N/n1c2c(cccc2[nH]s1)C(F)(F)F)/O,3.543316783,0.424598726
C/C(=N/c1cccc2c1n(C(Cl)(Cl)Cl)s[nH]2)/O,4.000087453,4.875695385
C/C(=N/n1c2cc(ccc2[nH]s1)C(Br)(Br)Br)/O,3.374008644,2.78929701
C/C(=N/c1ccc(c2c1[nH]s[nH]2)C(F)(F)F)/O,3.493870324,2.126995007
C/C(=N/c1c(ccc2c1[nH]s[nH]2)C(=O)O)/O,3.459214137,0.929839258
C#Cc1c(ccc2c1[nH]s[nH]2)C(F)(F)F,3.591996972,0.883243757
CC(C)(C)c1cc(cc2c1[nH]s[nH]2)NC,3.156533343,-0.422234814
COc1cc2c(cc1N(=O)=O)[nH]s[nH]2,3.590801086,1.865815187
CNc1cccc2c1[nH]sn2N(C)C,3.461252115,1.692428962
CNn1c2c(cccc2N(C)C)[nH]s1,3.659447475,1.581197391
CNc1ccc2c(c1)[nH]sn2N(C)C,3.198734488,1.53907465
CN(C)c1cc2c(cc1N(C)C)[nH]s[nH]2,2.982049661,2.553490404
Cc1ccc2c(c1)n(C)s[nH]2,3.218925468,1.714922425
CCc1cccc2c1[nH]sn2O,3.897133158,1.760609076
c1cc2c(c(c1C(Cl)(Cl)Cl)Cl)[nH]s[nH]2,3.635809395,2.646778002
c1c(c(cc2c1[nH]s[nH]2)Cl)C(Cl)(Cl)Cl,3.543872083,2.751455395
CC(C)(C)c1cc(cc2c1[nH]s[nH]2)OCCOCCOC,3.281833956,-0.344720408
COCCOc1cc2c(cc1C(=O)O)[nH]s[nH]2,3.365359639,0.878561489
CNc1cc2c(cc1OCCOCCOC)[nH]s[nH]2,3.134218601,2.261534318
COCCOc1cccc2c1[nH]sn2N(=O)=O,3.834137316,3.183112593
CC(=O)c1c(ccc2c1[nH]s[nH]2)OC,3.200571177,0.871544032
CN(C)c1ccc(c2c1[nH]s[nH]2)OCCOCCOC,3.027589449,2.094248871
C#Cc1cccc2c1n(OCCOC)s[nH]2,4.060946862,3.893664735
CC(C)(C)c1ccc2c(c1C(F)(F)F)[nH]s[nH]2,3.508669766,0.417442679
COCCOCCOCCOc1cc(cc2c1[nH]s[nH]2)N(=O)=O,3.397157469,2.067533562
CC(C)(C)c1cccc2c1n(N(C)C)s[nH]2,3.481811504,1.123267271
CC(C)(C)c1ccc2c(c1N(=O)=O)[nH]s[nH]2,3.503012032,1.996787463
CC(=O)c1ccc2c(c1OCCOCCOCCOC)[nH]s[nH]2,3.554378736,0.86462067
