solv_comb_sm,conductivity,oxstab,coulombic_efficiency,cond_std,oxstab_std,CE_std,overall_score_1,ROMol
CCCC1(C)OC(C)C(CC1(C)C=O)C=O,1.212975334306229,5.501159133566935,0.985146463848574,0.01816102946906275,0.49729412225417086,0.9843264392513158,0.4949279250216013,<rdkit.Chem.rdchem.Mol object at 0x2bdbe3dd0>
CCCCCC1(OCC(C)O1)C(C)CC,1.1331672640297656,5.458168038176713,0.9897454230590009,0.01696611899639609,0.49338839744878005,0.9893835749542601,0.49491357016181403,<rdkit.Chem.rdchem.Mol object at 0x2bdbe3e40>
CCC1(CC#N)CN(C)C(=O)C(C)(C)O1,3.13865124464118,5.127776779293878,0.9895646271919912,0.04699282936411349,0.4633724761611242,0.9891847670953151,0.4948515239647825,<rdkit.Chem.rdchem.Mol object at 0x2bdbe3eb0>
CCC1OCC2CC3(C)CC1(C2)O3,1.3549204529684757,5.47521134123483,0.9851226324399738,0.02028627455074281,0.49493677510502887,0.9843002336117852,0.4948426834782938,<rdkit.Chem.rdchem.Mol object at 0x2bdbe3f20>
CCN1CCC1C(CC#N)C(C=O)C=O,1.5854529703443123,5.406532490361624,0.987641710272239,0.023737876855476587,0.48869732740018546,0.9870702774110782,0.4948368089500243,<rdkit.Chem.rdchem.Mol object at 0x2bdbe3f90>
CC(C)(C)C1(C)N(C=O)C1(C)CCC=O,1.2669439594670944,5.481100119666531,0.9858012894122684,0.01896906398457913,0.49547176840504553,0.9850465025495185,0.4948308205299173,<rdkit.Chem.rdchem.Mol object at 0x2bdbe4040>
CCC1(CCC=O)CN1C(C)CCC#N,2.3810707373192734,5.299550417894741,0.9856109577893672,0.035650105765469634,0.47897804645669356,0.9848372089242585,0.49482356917831916,<rdkit.Chem.rdchem.Mol object at 0x2bdbe40b0>
CCC1CC2(O1)C1CCCC21,1.1419322202422324,5.501110098340835,0.9858241410817613,0.01709735056150549,0.4972896674223696,0.9850716308423293,0.4948213541126475,<rdkit.Chem.rdchem.Mol object at 0x2bdbe4120>
CC1C(N1C=O)C1(C)CN1C,3.463048719131633,5.119496751262083,0.9856743833111574,0.05184980608629813,0.46262023873661623,0.984906953285112,0.4947944093756487,<rdkit.Chem.rdchem.Mol object at 0x2bdbe4190>
CCC1(C(C)C)C(CC(=O)N1C=O)C(F)(F)F,1.0321170732314422,5.472696002061562,0.9894926671633464,0.01545316509547348,0.4947082574896056,0.9891056379677465,0.49475812998243246,<rdkit.Chem.rdchem.Mol object at 0x2bdbe4200>
CCC1CC(C)(OC=O)C(=O)N1C(C)C,2.5731234211023644,5.252087053084264,0.9867218875618433,0.03852557640849097,0.4746660176608476,0.9860588163268889,0.4947526354307551,<rdkit.Chem.rdchem.Mol object at 0x2bdbe4270>
CCC(CC)OC1(C)OC(=O)C(CC)C1(C)C,1.5087708647932723,5.409338897547798,0.9881981715811343,0.02258976926846617,0.4889522884348271,0.9876821768047803,0.4947439973876643,<rdkit.Chem.rdchem.Mol object at 0x2bdbe42e0>
CCCN1C(C(=O)C#N)C(=O)OC(C)C1(C)C,1.4154223964769796,5.454904223029592,0.9856996679793347,0.021192127876910986,0.4930918810733629,0.9849347569668423,0.49474219275264836,<rdkit.Chem.rdchem.Mol object at 0x2bdbe4350>
CC(OC(C=O)C(C)C1CCCN1C=O)C=O,1.058878717492626,5.520229168280175,0.9851267777651869,0.015853848496070612,0.4990266277170605,0.9843047919196928,0.4947311384838319,<rdkit.Chem.rdchem.Mol object at 0x2bdbe43c0>
CCOC1OCCC1(CC(F)(F)F)OC,1.388286682240926,5.432236425644959,0.9878793662948508,0.020785843787950717,0.4910325202283989,0.9873316101826854,0.4947194914856816,<rdkit.Chem.rdchem.Mol object at 0x2bdbe4430>
CCCCOCCC(OC(C)C=O)C=O,1.1857021086205528,5.49907591995482,0.9850910684626587,0.01775268651724943,0.4971048630830353,0.9842655250376704,0.49471061463052524,<rdkit.Chem.rdchem.Mol object at 0x2bdbe44a0>
CCC1OC(C)(C)C2(OCCC1O2)C(F)(F)F,1.1161745811166681,5.4495536673638885,0.9899854624739867,0.01671169942828441,0.49260578510868747,0.9896475285663917,0.49465845432411,<rdkit.Chem.rdchem.Mol object at 0x2bdbe4510>
CCC1OC(C(C)CCCC=O)C1OC,1.4066570419689028,5.461169295251127,0.9850616002803673,0.021060890348399718,0.4936610605222954,0.9842331210545192,0.49465517373532075,<rdkit.Chem.rdchem.Mol object at 0x2bdbe4580>
CC1OCC(C)N(C=O)C1CC(F)(F)F,1.7376770948083815,5.389949977165484,0.9864306129476025,0.026017022308869073,0.4871908123291456,0.9857385231510549,0.49465229807039296,<rdkit.Chem.rdchem.Mol object at 0x2bdbe45f0>
CCC(CC)C(COC)C1(CC1)C#N,1.1863840617819283,5.475921924013353,0.9868293818485329,0.017762896925439642,0.4950013312825156,0.9861770198529927,0.49465061186011283,<rdkit.Chem.rdchem.Mol object at 0x2bdbe4660>
CCCOC(C)(C)C(OC(C)C#N)C(C)C,2.1590390686939687,5.282599873879951,0.9893903218769073,0.032325780729355165,0.477438095924554,0.9889930964168441,0.4945898011133486,<rdkit.Chem.rdchem.Mol object at 0x2bdbe46d0>
CC(C)C(C1CC1C#N)N1CC1C,1.2887692736083372,5.436929222610013,0.9884693204635104,0.019295839163408407,0.4914588590631438,0.987980339200039,0.49458256235077513,<rdkit.Chem.rdchem.Mol object at 0x2bdbe4740>
