solv_1_sm,solv_2_sm,solv_3_sm,solv_4_sm,salt_sm,conductivity_log
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,0.11394335210380802
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,0.1760912590087061
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.32790214194353445
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.07918124613710918
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.27875360087795886
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5440680441351401
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.8450980399902346
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,-0.6274363746190273
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,-0.745907467752568
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,-0.9139587164023396
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,-1.202668109606823
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,-1.352999161889413
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,-1.5898869267149671
CC1COC(=O)O1,,,,[Li+].[B-](F)(F)(F)F,-0.5856698738748793
CC1COC(=O)O1,,,,[Li+].[B-](F)(F)(F)F,-0.7447062682796732
CC1COC(=O)O1,,,,[Li+].[B-](F)(F)(F)F,-1.029367736381037
CC1COC(=O)O1,,,,[Li+].[B-](F)(F)(F)F,-1.1741676206565241
CC1COC(=O)O1,,,,[Li+].[B-](F)(F)(F)F,-1.4104803509246024
CC1COC(=O)O1,,,,[Li+].[B-](F)(F)(F)F,-1.5823818173261412
CC1COC(=O)O1,,,,[Li+].F[P-](F)(F)(F)(F)F,-0.6577503092537899
CC1COC(=O)O1,,,,[Li+].F[P-](F)(F)(F)(F)F,-0.7809282990110324
CC1COC(=O)O1,,,,[Li+].F[P-](F)(F)(F)(F)F,-0.9445795869250093
CC1COC(=O)O1,,,,[Li+].F[P-](F)(F)(F)(F)F,-1.2353754975896372
CC1COC(=O)O1,,,,[Li+].F[P-](F)(F)(F)(F)F,-1.382377134154508
