smiles,IE,EA,IE_binned
C#Cc1cc(cn1C)N(=O)=O,4.967256707,1.736014127,4
C#CC1=C(C(F)(F)F)S[C](C2=[S]C=CS2)S1,3.476827837,1.293734003,3
[C@@H](CC(=O)O)(C(=O)O)C,6.24394793,0.519369875,6
C=CC1=CSC(=CS1)N(C)C,3.516518941,0.546942649,3
C1(=C[CH]C=CN1[O])c1ncccc1,4.719892968,1.039126651,4
C1CS[C@@](CS1)(C(=N)O)C(Cl)(Cl)Cl,5.233723099,2.875585828,5
O=c1c2c(n(cn2)[C@@H]2O[C@@H]([C@H]([C@H]2O)O)COP(=O)(O)O)nc([nH]1)N,4.338209116,-0.448694643,4
CC(=O)c1cc(cc2c1ONO2)C(Cl)(Cl)Cl,4.784460344,2.880232162,4
C#Cc1cn(C)cc/c/1=c\1/ccn(C)c(c1)C(C)(C)C,1.954470888,0.180372414,1
CN1C=C[C]([C]2C=CN(C=C2)CC(F)(F)F)C(=C1)O,2.013388225,-0.096109578,2
Cn1ccc(=c2ccn(cc2)CF)cc1OCCOCCOC,2.155663768,-0.199845292,2
c1c(cc2c(c1Cl)[nH]s[nH]2)N(=O)=O,3.722192766,2.023309811,3
C=Cc1cc(cc2c1ONO2)C(Cl)(Cl)Cl,4.64606105,3.173333755,4
C1C(CCSC1)F,4.777004175,-0.84852121,4
C#Cc1cn(C)cc/c/1=c\1/ccn(C)c(c1)C(F)(F)F,2.225627166,0.337073272,2
COCCOCCOCCOc1cc2c(cc1C(F)(F)F)ONO2,4.431556767,0.369023099,4
Cc1ccc(c2c1ONO2)OCCOC,4.418527932,-0.20986793,4
CCc1cc(C(=O)C)sc1,5.150769283,1.05808614,5
CN1CCN(C)[C@H](C1)F,4.309267811,-1.170835517,4
COC1=C(O)S[C](C2=[S]C=CS2)S1,3.219745319,0.43832934,3
Nc1cc(=N)[nH]nc1O,5.42548682,1.979533764,5
c1cc(c2c(c1)n(C(=O)O)s[nH]2)F,3.879477555,2.546439741,3
N(N(CC)C)(CC)CC,2.874102188,-1.100367327,2
C=C[C@@H]1CN(C)C[C@H](NC)N1C,3.96311096,-1.010622933,3
C#CCn1ccc(=c2ccn(C)cc2)cc1,1.950499373,-0.483051005,1
c1cc2c(cc1)ncc(n2)NC(=O)C,5.043839663,1.286785494,5
CO[C@@H]1C=CC=C1OC,4.190785062,0.465475359,4
Nc1c(NC=O)[nH]cn1,4.978493474,0.699361426,4
CC(=O)C1=C(C(=O)C)S[C](C2=[S]C=CS2)S1,3.430204045,2.115453663,3
CN(C)c1cscc1N(=O)=O,4.116819008,1.877070254,4
CNc1ccc(c2c1ONO2)OCCOCCOCCOC,3.637797445,-0.243276595,3
Cc1cn(C)c(cc1=c1ccn(C)cc1)C(C)(C)C,1.77016437,-0.105634341,1
COCCOc1ccc(N)s1,3.335444777,-0.489198157,3
COCCOCCOc1c2CCCCc2c(c(c1O)O)O,4.121064071,-0.439950287,4
C#C[C]1[C](CC=CS1)N(C)C,3.385206,0.166411361,3
CC(=O)c1ccc2c(c1C#N)ONO2,4.971607404,1.571680814,4
CC(=O)Cn1cnnn1,7.910020378,2.006955846,7
c1(cc(ccn1)c1ccncc1C#C)C,5.471952902,1.145456832,5
COc1cc(cs1)C(F)(F)F,4.596230367,0.219948708,4
C[C@@H]1[C@H](C(=O)O)OCCO1,5.674784102,-0.231662565,5
CNC1=CSC=CS1,3.369470745,-0.11992455,3
C=CC1=C(CC=CO1)C(=O)O,4.72409987,1.275835255,4
CN(C)c1cc(=c2ccn(C)cc2)c(cn1C)Cl,1.965719565,0.01095485,1
c1c(ccs1)C#N,5.535072487,0.567976887,5
c1cc2c(cc1)C(=O)c1c(C2=O)c(ccc1C)NC,4.18495489,1.864892607,4
c1c(c2c(cc1)ncc(n2)C)C#C,5.032527507,1.410140956,5
c1(cc2c(cc1)C(=O)c1c(C2=O)c(ccc1)C(=O)O)C,5.975698255,2.603407176,5
CC(C)(C)c1cc(cc2c1[nH]s[nH]2)NC,3.156533343,-0.422234814,3
C1C[C@](CSC1)(N(C)C)C,3.779865528,-0.914027591,3
C[C@H]1C=CC=C1O,3.876930319,-0.285079733,3
Cc1cc(c2c(c1OC)cccc2)c1c2c(c(OC)c(cc2)C)ccc1,4.123876678,0.446609601,4
C(CC/C=C/OC)c1ccoc1,4.415793824,-1.004226593,4
C(CCCCCCC)c1ccsc1,4.805352219,-0.428004587,4
CCC1=C(c2ccccc2)SC=CC1,3.97946166,0.06737277,3
CCC1=C(CC=CS1)N(=O)=O,4.864860026,1.677634412,4
C1(=S)C(C(=O)C1(C)C)(C)C,4.942446529,1.585584911,4
C(NCC(=O)OC)(c1ccccc1)(c1ccccc1)c1ccccc1,4.484505706,-0.279811361,4
C[C@@H]1CC[C@H](C1)C(Cl)(Cl)Cl,6.32496068,2.395578038,6
C1[C@H](C[C@H](SC1)CC)CC,4.64709964,-0.859457669,4
S(=O)(=O)(/C(=C(/S(=O)(=O)c1ccc(cc1)C)\Cl)/Cl)c1ccc(cc1)C,5.821184178,2.159612675,5
Cc1ccc([nH]1)N(C)C,2.85109348,-0.773972865,2
c1(c2c(ccc1)cccc2)c1oc(cn1)c1ccccc1,4.163630025,1.036642905,4
Nc1cc(OC=O)co1,5.368359157,1.40371139,5
C[C@H]1c2c(CC1)cccc2,4.909103217,-0.594737863,4
c1c(C(Cl)(Cl)Cl)ncc(C(Cl)(Cl)Cl)n1,6.261589807,2.845253471,6
C/C(=N/c1c/c(=c/2\ccn(C)cc2Cl)/ccn1C)/O,1.855663289,0.291052819,1
c12c3c4c(c1cc1c(c2cc2c3cccc2)cccc1)cccc4,4.08574582,1.372158427,4
c1c(c2c(cc1)C(=O)c1c(C2=O)cccc1)F,5.885637723,2.247718306,5
C(#CCCCC)c1ccccc1,4.80544252,0.160079601,4
C/C(=N/c1cc(=c2ccn(C)cc2)cc(n1C)OC)/O,1.61074632,0.178014725,1
c1ccc(cc1)c1ccc(N(=O)=O)s1,4.950786374,2.211004179,4
c1cc2c(cc1)nc(c(n2)N(=O)=O)C,5.654904674,2.389098382,5
