solvent_1_smiles,solvent_2_smiles,solvent_3_smiles,salt_1_smiles,salt_2_smiles,additive_smiles,pre_feat_solv_1,pre_feat_solv_2,pre_feat_solv_3,pre_feat_solv_4,pre_feat_solv_5,pre_feat_solv_6,pre_feat_solv_7,pre_feat_solv_8,pre_feat_solv_9,pre_feat_solv_10,solv_ratio_1,solv_ratio_2,solv_ratio_3,num_heavy_atoms_solv_1,num_heavy_atoms_solv_2,num_heavy_atoms_solv_3,mw_solv_1,mw_solv_2,mw_solv_3,pre_feat_salt_1,pre_feat_salt_2,pre_feat_salt_3,pre_feat_salt_4,pre_feat_salt_5,pre_feat_salt_6,pre_feat_salt_7,pre_feat_salt_8,pre_feat_salt_9,pre_feat_salt_10,salt_1_conc,salt_2_conc,num_heavy_atoms_salt_1,num_heavy_atoms_salt_2,mw_salt_1,mw_salt_2,pre_feat_add_1,pre_feat_add_2,pre_feat_add_3,pre_feat_add_4,pre_feat_add_5,pre_feat_add_6,pre_feat_add_7,pre_feat_add_8,pre_feat_add_9,pre_feat_add_10,num_heavy_atoms_add,mw_add,protocol,current_density,coulombic_efficiency,log(1-CE)
CC1CCCO1,COCCCOC,,F[As-](F)(F)(F)(F)F.[Li+],,,215.43028,-4.2700777,-3.1042478,33.873676,34.314564,10.125251,-26.70879,10.996937,-6.5181875,16.396349,0.75,0.25,0,6,7,0,86.07316494,104.0837296,0,-93.11358,51.149864,-19.272934,-8.102427,-6.7971306,18.451204,5.505031,-2.8257568,-5.4752183,-0.039569993,1.4,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0.945,-2.900422094
CC1CCCO1,,,F[As-](F)(F)(F)(F)F.[Li+],,,245.14778,29.954426,-0.57727647,18.008635,45.957726,14.886755,-29.60334,10.542385,11.49064,12.857016,1,0,0,6,0,0,86.07316494,0,0,-93.11358,51.149864,-19.272934,-8.102427,-6.7971306,18.451204,5.505031,-2.8257568,-5.4752183,-0.039569993,1.5,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0.968,-3.442019376
O=C1OCCO1,CC1COC(=O)O1,,F[As-](F)(F)(F)(F)F.[Li+],,,-385.47214,-40.163303,-45.667118,-16.30103,7.533643,1.2574501,-7.739797,8.748746,9.0263605,6.7882843,0.428571429,0.571428571,0,6,7,0,88.01604399,102.0316941,0,-93.11358,51.149864,-19.272934,-8.102427,-6.7971306,18.451204,5.505031,-2.8257568,-5.4752183,-0.039569993,1.5,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.97,-3.506557897
COCOC,,,F[As-](F)(F)(F)(F)F.[Li+],,,-471.40714,88.3439,-3.671805,10.344913,-17.948055,-3.0270119,11.169271,-14.598171,12.783141,-5.050192,1,0,0,5,0,0,76.0524295,0,0,-93.11358,51.149864,-19.272934,-8.102427,-6.7971306,18.451204,5.505031,-2.8257568,-5.4752183,-0.039569993,1.5,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.975,-3.688879454
O=C1OCCO1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,O=c1occo1,5.0230193,-14.752433,-41.280296,-18.33751,-6.635223,-9.778509,5.0461082,12.535081,10.950474,-0.2991669,0.5,0.5,0,6,6,0,88.01604399,90.03169405,0,-271.49637,29.128769,-4.6876454,2.8940535,-5.0519276,-6.773956,-1.2934432,0.9681573,1.7162259,-0.04653487,1,0,8,0,151.9801855,0,324.8904,48.395664,-24.511278,41.790718,17.511095,-25.795837,-3.5654263,-0.23573805,-0.7438102,0.002880923,6,86.00039392,1,0.6,0.8,-1.609437912
O=C1OCCO1,CCOC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,46.720318,-25.77961,-40.019657,-14.538684,-8.466415,-7.5989985,4.8288984,12.185302,12.204141,-1.3004963,0.217391304,0.782608696,0,6,7,0,88.01604399,104.0473441,0,-271.49637,29.128769,-4.6876454,2.8940535,-5.0519276,-6.773956,-1.2934432,0.9681573,1.7162259,-0.04653487,1,0,8,0,151.9801855,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.82,-1.714798428
O=C1OCCO1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,,264.50815,-11.799558,-34.609314,-8.30095,-9.178205,-5.388664,-1.3382225,6.058027,-1.7059735,-2.9999146,0.27027027,0.72972973,0,6,8,0,88.01604399,118.0629942,0,-271.49637,29.128769,-4.6876454,2.8940535,-5.0519276,-6.773956,-1.2934432,0.9681573,1.7162259,-0.04653487,1,0,8,0,151.9801855,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.863,-1.987774353
O=C1OCCO1,CCOC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,46.720318,-25.77961,-40.019657,-14.538684,-8.466415,-7.5989985,4.8288984,12.185302,12.204141,-1.3004963,0.25,0.75,0,6,7,0,88.01604399,104.0473441,0,-271.49637,29.128769,-4.6876454,2.8940535,-5.0519276,-6.773956,-1.2934432,0.9681573,1.7162259,-0.04653487,1,0,8,0,151.9801855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.879,-2.111964733
O=C1OCCO1,CCOC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,46.720318,-25.77961,-40.019657,-14.538684,-8.466415,-7.5989985,4.8288984,12.185302,12.204141,-1.3004963,0.25,0.75,0,6,7,0,88.01604399,104.0473441,0,-271.49637,29.128769,-4.6876454,2.8940535,-5.0519276,-6.773956,-1.2934432,0.9681573,1.7162259,-0.04653487,1,0,8,0,151.9801855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.881,-2.128631786
O=C1OCCO1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,5.0230193,-14.752433,-41.280296,-18.33751,-6.635223,-9.778509,5.0461082,12.535081,10.950474,-0.2991669,0.5,0.5,0,6,6,0,88.01604399,90.03169405,0,-271.49637,29.128769,-4.6876454,2.8940535,-5.0519276,-6.773956,-1.2934432,0.9681573,1.7162259,-0.04653487,1,0,8,0,151.9801855,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0.89,-2.207274913
