smiles,fr_func_grp_1_solv,fr_func_grp_2_solv,fr_func_grp_3_solv,fr_func_grp_4_solv,fr_func_grp_5_solv,fr_func_grp_6_solv,fr_func_grp_7_solv,fr_func_grp_8_solv,fr_func_grp_9_solv,fr_func_grp_10_solv,fr_func_grp_11_solv,fr_func_grp_12_solv,fr_func_grp_13_solv,fr_func_grp_14_solv,fr_func_grp_15_solv,fr_func_grp_16_solv,fr_func_grp_17_solv,fr_func_grp_18_solv,fr_func_grp_19_solv,fr_func_grp_20_solv,fr_func_grp_21_solv,fr_func_grp_22_solv,fr_func_grp_23_solv,fr_func_grp_24_solv,fr_func_grp_25_solv,fr_func_grp_26_solv,fr_func_grp_27_solv,fr_func_grp_28_solv,fr_func_grp_29_solv,fr_func_grp_30_solv,fr_func_grp_31_solv,fr_func_grp_32_solv,fr_func_grp_33_solv,fr_func_grp_34_solv,fr_func_grp_35_solv,fr_func_grp_36_solv,fr_func_grp_37_solv,fr_func_grp_38_solv,fr_func_grp_39_solv,fr_func_grp_40_solv,fr_func_grp_41_solv,fr_func_grp_42_solv,mol_wt,num_heavy_atom,num_HBA,num_rings,mol_sssr,clogp,molar_refractivity,tpsa,frac_sp3,hall_kier_alpha,labute_ASA,num_valence_electron,max_partial_charge,min_partial_charge,IE
C(O)c1cc(C)ccc1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.07316494,9,1,1,1,1.48732,37.101800000000004,20.23,0.25,-0.8200000000000001,54.95552110048619,48,0.0681466249149625,-0.39168029488102335,5.08783867
CN(C)c1ccc(N)n1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,139.110947416,10,3,1,1,0.6732999999999999,44.15240000000001,34.19,0.42857142857142855,-1.12,61.0450857375125,56,0.10882840385923127,-0.38506216201751137,2.717708656
CCc1cscc1Cl,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.995698904,8,1,1,1,2.9639000000000015,38.707000000000015,0.0,0.3333333333333333,-0.010000000000000064,58.10491684558335,44,0.054429739175237975,-0.1505446084685193,4.995200449
c1(C(=O)Cl)ccc(cc1)F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,157.993470648,10,1,1,1,2.2047,36.583500000000015,17.07,0.0,-0.8900000000000001,62.42666896374524,52,0.2518886541057707,-0.27561499246887866,6.009065741
COCCOc1c(ccc2c1ONO2)C(F)(F)F,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,265.05619246000003,18,5,2,2,1.9214,53.20670000000002,48.95,0.4,-1.6700000000000002,100.29406673292438,100,0.41961381183157126,-0.48639654795943,4.702112503
C=C[C@@H]1[C@H](NC)SCCS1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.048941416,10,3,1,1,1.5664999999999998,51.74870000000003,12.03,0.7142857142857143,0.39999999999999997,71.02955176283423,58,0.06853044119227171,-0.3072396337911571,4.767526309
C1[C@@H](N(=O)=O)SC[C@@H](O)S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.986735084,10,5,1,1,0.3876,41.70520000000002,63.370000000000005,1.0,0.05999999999999989,66.52167574291643,58,0.2669450348594895,-0.3815790742267531,5.27913093
Cn1ccc(=c2ccn(C)c(c2)C(Cl)(Cl)Cl)cc1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.014431456,18,2,2,2,3.969000000000003,78.34500000000003,6.48,0.23076923076923078,-0.8299999999999998,122.08834495366084,96,0.2301446665889456,-0.35722329675097386,2.186744096
C1CC[C@H](S[C@H]1C)C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.081621448,8,1,1,1,2.680500000000001,40.36600000000001,0.0,1.0,0.35,56.046182586045205,48,0.002135426197278626,-0.15574520639361483,4.651633103
COCCOCCOc1ccc(C(F)(F)F)s1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,270.05374993600003,17,4,1,1,2.8087000000000018,57.511000000000024,27.69,0.6,-0.7900000000000003,101.09866097358746,98,0.42522501811159585,-0.48161303598458277,4.677566932
